Frequenza (Hz),Re(S21),Im(S21)
4088308308.308,-0.899,0.075
4088418418.418,-0.899,0.077
4088528528.529,-0.900,0.079
4088638638.639,-0.899,0.082
4088748748.749,-0.899,0.086
4088858858.859,-0.898,0.085
4088968968.969,-0.898,0.088
4089079079.079,-0.895,0.088
4089189189.189,-0.898,0.090
4089299299.299,-0.900,0.093
4089409409.409,-0.897,0.095
4089519519.520,-0.898,0.098
4089629629.630,-0.896,0.101
4089739739.740,-0.896,0.101
4089849849.850,-0.896,0.104
4089959959.960,-0.895,0.107
4090070070.070,-0.897,0.109
4090180180.180,-0.897,0.111
4090290290.290,-0.897,0.113
