C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=13.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
7.816,-1.14899
7.81602,-1.14893
7.81605,-1.1488
7.81608,-1.14867
7.81611,-1.14854
7.81615,-1.1484
7.81618,-1.14826
7.81621,-1.14811
7.81623,-1.14796
7.81626,-1.1478
7.81629,-1.14765
7.81632,-1.14749
7.81634,-1.14733
7.81637,-1.14717
7.81639,-1.147
7.81642,-1.14684
7.81644,-1.14667
7.81647,-1.14651
7.81649,-1.14634
7.81651,-1.14618
7.81653,-1.14601
7.81656,-1.14584
7.81658,-1.14568
7.8166,-1.14551
7.81662,-1.14535
7.81664,-1.14518
7.81666,-1.14502
7.81667,-1.14486
7.81669,-1.1447
7.81671,-1.14454
7.81673,-1.14438
7.81674,-1.14422
7.81676,-1.14406
7.81678,-1.14391
7.81679,-1.14376
7.81681,-1.1436
7.81682,-1.14345
7.81684,-1.14331
7.81685,-1.14316
7.81687,-1.14302
7.81688,-1.14287
7.81689,-1.14273
7.81691,-1.14259
7.81692,-1.14246
7.81693,-1.14232
7.81694,-1.14219
7.81696,-1.14206
7.81697,-1.14193
7.81698,-1.1418
7.81699,-1.14167
7.817,-1.14157
7.817,-1.14155
7.81701,-1.14143
7.81702,-1.14131
7.81703,-1.14119
7.81704,-1.14108
7.81705,-1.14096
7.81706,-1.14085
7.81707,-1.14074
7.81708,-1.14063
7.81709,-1.14052
7.8171,-1.14042
7.81711,-1.14032
7.81712,-1.14022
7.81712,-1.14012
7.81713,-1.14002
7.81714,-1.13992
7.81715,-1.13983
7.81715,-1.13974
7.81716,-1.13965
7.81717,-1.13956
7.81717,-1.13947
7.81718,-1.13939
7.81719,-1.1393
7.81719,-1.13922
7.8172,-1.13914
7.81721,-1.13906
7.81721,-1.13898
7.81722,-1.13891
7.81722,-1.13883
7.81723,-1.13876
7.81724,-1.13869
7.81724,-1.13862
7.81725,-1.13855
7.81725,-1.13848
7.81726,-1.13841
7.81726,-1.13835
7.81727,-1.13829
7.81727,-1.13822
7.81727,-1.13816
7.81728,-1.1381
7.81728,-1.13805
7.81729,-1.13801
7.81729,-1.13799
7.81729,-1.13793
7.8173,-1.13788
7.8173,-1.13782
7.8173,-1.13777
7.81731,-1.13772
7.81731,-1.13767
7.81731,-1.13762
7.81732,-1.13757
7.81732,-1.13751
7.81733,-1.13746
7.81733,-1.1374
7.81733,-1.13734
7.81734,-1.13728
7.81734,-1.13722
7.81735,-1.13716
7.81735,-1.1371
7.81736,-1.13703
7.81736,-1.13697
7.81737,-1.1369
7.81737,-1.13683
7.81738,-1.13675
7.81738,-1.13668
7.81739,-1.1366
7.81739,-1.13652
7.8174,-1.13644
7.8174,-1.13636
7.81741,-1.13628
7.81742,-1.13619
7.81742,-1.1361
7.81743,-1.13601
7.81743,-1.13591
7.81744,-1.13582
7.81745,-1.13572
7.81745,-1.13562
7.81746,-1.13551
7.81747,-1.1354
7.81748,-1.13529
7.81748,-1.13518
7.81749,-1.13506
7.8175,-1.13494
7.81751,-1.13482
7.81752,-1.13469
7.81752,-1.13456
7.81753,-1.13443
7.81754,-1.13429
7.81755,-1.13415
7.81756,-1.134
7.81757,-1.13385
7.81758,-1.1337
7.81759,-1.13354
7.8176,-1.13338
7.81761,-1.13321
7.81762,-1.13304
7.81763,-1.13286
7.81764,-1.13268
7.81765,-1.13249
7.81767,-1.1323
7.81768,-1.1321
7.81769,-1.1319
7.8177,-1.13169
7.81772,-1.13147
7.81773,-1.13125
7.81774,-1.13102
7.81776,-1.13078
7.81777,-1.13054
7.81779,-1.13029
7.8178,-1.13003
7.81782,-1.12977
7.81783,-1.12949
7.81785,-1.12921
7.81786,-1.12892
7.81788,-1.12862
7.8179,-1.12831
7.81791,-1.128
7.81793,-1.12767
7.81795,-1.12733
7.81797,-1.12698
7.81799,-1.12663
7.818,-1.1264
7.81801,-1.12626
7.81803,-1.12587
7.81805,-1.12548
7.81807,-1.12507
7.81809,-1.12466
7.81811,-1.12422
7.81814,-1.12378
7.81816,-1.12332
7.81818,-1.12284
7.81821,-1.12235
7.81823,-1.12185
7.81826,-1.12132
7.81828,-1.12079
7.81831,-1.12023
7.81833,-1.11965
7.81836,-1.11906
7.81839,-1.11845
7.81842,-1.11781
7.81845,-1.11716
7.81848,-1.11648
7.81851,-1.11578
7.81854,-1.11506
7.81858,-1.11431
7.81861,-1.11354
7.81864,-1.11274
7.81868,-1.11192
7.81871,-1.11107
7.81875,-1.11018
7.81879,-1.10927
7.81883,-1.10833
7.81887,-1.10735
7.81891,-1.10635
7.81895,-1.1053
7.81899,-1.10422
7.819,-1.10392
7.81903,-1.10311
7.81908,-1.10195
7.81912,-1.10076
7.81917,-1.09952
7.81921,-1.09824
7.81926,-1.09691
7.81931,-1.09554
7.81936,-1.09413
7.81941,-1.09266
7.81947,-1.09114
7.81952,-1.08956
7.81958,-1.08794
7.81963,-1.08625
7.81969,-1.08451
7.81975,-1.0827
7.81981,-1.08083
7.81987,-1.0789
7.81994,-1.07689
7.82,-1.07493
7.82,-1.07482
7.82007,-1.07267
7.82014,-1.07045
7.82021,-1.06815
7.82028,-1.06577
7.82035,-1.06331
7.82043,-1.06076
7.82051,-1.05812
7.82058,-1.05539
7.82066,-1.05257
7.82075,-1.04965
7.82083,-1.04662
7.82092,-1.0435
7.821,-1.04046
7.82101,-1.04027
7.8211,-1.03692
7.82119,-1.03347
7.82128,-1.02989
7.82138,-1.0262
7.82148,-1.02238
7.82158,-1.01844
7.82168,-1.01437
7.82179,-1.01016
7.8219,-1.00582
7.822,-1.00174
7.82201,-1.00133
7.82212,-0.996708
7.82224,-0.991934
7.82236,-0.987011
7.82248,-0.981934
7.82261,-0.976701
7.82273,-0.971309
7.82287,-0.965756
7.823,-0.960037
7.823,-0.960016
7.82314,-0.954151
7.82328,-0.948096
7.82342,-0.941868
7.82357,-0.935467
7.82372,-0.92889
7.82387,-0.922135
7.824,-0.916492
7.82403,-0.915202
7.82419,-0.908089
7.82436,-0.900796
7.82452,-0.893323
7.8247,-0.885669
7.82487,-0.877834
7.825,-0.872262
7.82506,-0.86982
7.82524,-0.861628
7.82543,-0.853258
7.82562,-0.844715
7.82582,-0.835999
7.826,-0.828253
7.82603,-0.827114
7.82623,-0.818064
7.82645,-0.808852
7.82667,-0.799483
7.82689,-0.789962
7.827,-0.785211
7.82712,-0.780294
7.82735,-0.770487
7.82759,-0.760545
7.82783,-0.750477
7.828,-0.743702
7.82808,-0.74029
7.82834,-0.729993
