C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
16.0744,-0.142353
16.0785,-0.141572
16.08,-0.141307
16.0827,-0.140835
16.087,-0.140138
16.0914,-0.139482
16.0959,-0.138865
16.1,-0.138347
16.1005,-0.138287
16.1052,-0.137745
16.11,-0.137239
16.115,-0.136769
16.12,-0.136332
16.14,-0.134985
16.16,-0.134124
16.18,-0.133627
16.2,-0.133408
16.22,-0.133407
16.24,-0.133578
16.26,-0.133888
16.28,-0.134313
16.3,-0.134832
16.32,-0.135431
16.34,-0.136098
16.36,-0.136824
16.38,-0.137599
16.4,-0.138418
16.42,-0.139277
16.44,-0.140169
16.46,-0.141092
16.48,-0.142043
16.5,-0.143019
16.52,-0.144018
16.54,-0.145038
16.56,-0.146077
16.58,-0.147133
16.6,-0.148206
16.62,-0.149294
16.64,-0.150396
16.66,-0.151512
16.68,-0.152641
16.7,-0.153781
16.72,-0.154932
16.74,-0.156094
16.76,-0.157266
16.78,-0.158447
16.8,-0.159638
16.82,-0.160837
16.84,-0.162044
16.85,-0.162622
16.86,-0.163259
16.88,-0.164481
16.9,-0.165712
16.92,-0.166923
16.94,-0.168195
16.96,-0.169447
16.98,-0.170706
17,-0.171948
C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=2.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
5,-0.164263
5.02,-0.164889
5.04,-0.165511
5.06,-0.166127
5.08,-0.16674
5.1,-0.167347
5.12,-0.167949
5.14,-0.168547
5.16,-0.169139
5.18,-0.169727
5.2,-0.170309
5.22,-0.170886
5.24,-0.171458
5.26,-0.172024
5.28,-0.172585
5.3,-0.173141
5.32,-0.173691
5.34,-0.174236
5.36,-0.174775
5.38,-0.175308
5.4,-0.175836
5.42,-0.176358
5.44,-0.176874
5.46,-0.177384
5.48,-0.177888
5.5,-0.178386
5.52,-0.178878
5.54,-0.179365
5.56,-0.179845
5.58,-0.180318
5.6,-0.180786
5.62,-0.181248
5.64,-0.181703
5.66,-0.182151
5.68,-0.182594
5.7,-0.18303
5.72,-0.18346
5.74,-0.183883
5.76,-0.184299
5.78,-0.184709
5.8,-0.185113
5.82,-0.18551
5.84,-0.1859
5.86,-0.186283
5.88,-0.18666
5.9,-0.18703
5.92,-0.187393
5.94,-0.18775
5.96,-0.188099
