Time,Channel A
(us),(V)

-0.23738989,-0.02777184
-0.23338989,-0.02441481
-0.22938989,-0.02059999
-0.22538989,-0.01739555
-0.22138989,-0.01678518
-0.21738989,-0.01892148
-0.21338989,-0.02197333
-0.20938989,-0.02380444
-0.20538989,-0.02288888
-0.20138989,-0.01983703
-0.19738989,-0.01556444
-0.19338989,-0.01174963
-0.18938989,-0.00961333
-0.18538989,-0.00915555
-0.18138989,-0.00930815
-0.17738989,-0.00991852
-0.17338989,-0.01159703
-0.16938989,-0.01403851
-0.16538989,-0.01678518
-0.16138989,-0.01937925
-0.15738989,-0.02197333
-0.15338989,-0.02471999
-0.14938989,-0.02700888
-0.14538989,-0.02777184
-0.14138989,-0.02609333
-0.13738989,-0.02182074
-0.13338989,-0.01617481
-0.12938989,-0.01144444
-0.12538990,-0.00946074
-0.12138990,-0.01022370
-0.11738990,-0.01205481
-0.11338990,-0.01342814
-0.10938990,-0.01388592
-0.10538990,-0.01358074
-0.10138990,-0.01297037
-0.09738990,-0.01205481
-0.09338990,-0.01068148
-0.08938990,-0.00869778
-0.08538990,-0.00640889
-0.08138990,-0.00534074
-0.07738990,-0.00701926
-0.07338990,-0.01159703
-0.06938990,-0.01709037
-0.06538990,-0.02105777
-0.06138990,-0.02166814
-0.05738990,-0.01907407
-0.05338990,-0.01464888
-0.04938990,-0.01098666
-0.04538990,-0.00946074
-0.04138990,-0.00976592
-0.03738990,-0.01098666
-0.03338990,-0.01205481
-0.02938990,-0.01358074
-0.02538990,-0.01586962
-0.02138990,-0.01815851
-0.01738990,-0.01876888
-0.01338990,-0.01617481
-0.00938990,-0.01022370
-0.00538990,-0.00274667
-0.00138990,0.00259407
0.00261010,0.00305185
0.00661010,-0.00152593
0.01061010,-0.00824000
0.01461010,-0.01358074
0.01861010,-0.01556444
0.02261010,-0.01480148
0.02661010,-0.01236000
0.03061010,-0.01007111
0.03461010,-0.00854518
0.03861010,-0.00717185
0.04261010,-0.00595111
0.04661010,-0.00549333
0.05061010,-0.00656148
0.05461010,-0.00976592
0.05861010,-0.01342814
0.06261010,-0.01602222
0.06661010,-0.01632740
0.07061010,-0.01388592
0.07461010,-0.01022370
0.07861010,-0.00778222
0.08261010,-0.00854518
0.08661010,-0.01251259
0.09061010,-0.01754814
0.09461010,-0.02090518
0.09861010,-0.02059999
0.10261010,-0.01693777
0.10661010,-0.01159703
0.11061010,-0.00701926
0.11461010,-0.00488296
0.11861010,-0.00488296
0.12261010,-0.00579852
0.12661010,-0.00701926
0.13061010,-0.00930815
0.13461010,-0.01251259
0.13861010,-0.01602222
0.14261010,-0.01846370
0.14661010,-0.01892148
0.15061010,-0.01709037
0.15461010,-0.01419111
0.15861010,-0.01144444
0.16261010,-0.00961333
0.16661010,-0.00869778
0.17061010,-0.00808741
0.17461010,-0.00747703
0.17861010,-0.00686666
0.18261010,-0.00625629
0.18661010,-0.00579852
0.19061010,-0.00534074
0.19461010,-0.00503555
0.19861010,-0.00473037
0.20261010,-0.00457778
0.20661010,-0.00457778
0.21061010,-0.00503555
0.21461010,-0.00579852
0.21861010,-0.00686666
0.22261010,-0.00778222
0.22661009,-0.00885037
0.23061009,-0.00991852
0.23461009,-0.01098666
0.23861009,-0.01144444
0.24261009,-0.01144444
0.24661009,-0.01113926
0.25061009,-0.01037629
0.25461009,-0.00915555
0.25861009,-0.00732444
0.26261009,-0.00473037
0.26661009,-0.00198370
0.27061009,-0.00015259
0.27461009,-0.00061037
0.27861009,-0.00350963
0.28261009,-0.00747703
0.28661009,-0.00991852
0.29061009,-0.00946074
0.29461009,-0.00595111
0.29861009,-0.00091556
0.30261009,0.00259407
0.30661009,0.00320444
0.31061009,0.00076296
0.31461009,-0.00274667
0.31861009,-0.00610370
0.32261009,-0.00824000
0.32661009,-0.00976592
0.33061009,-0.01083407
0.33461009,-0.01083407
0.33861009,-0.00930815
0.34261009,-0.00579852
0.34661009,-0.00152593
0.35061009,0.00183111
0.35461009,0.00274667
0.35861009,0.00152593
0.36261009,-0.00061037
0.36661009,-0.00320444
0.37061009,-0.00640889
0.37461009,-0.01052889
0.37861009,-0.01480148
0.38261009,-0.01709037
0.38661009,-0.01586962
0.39061009,-0.01083407
0.39461009,-0.00427259
0.39861009,0.00152593
0.40261009,0.00488296
0.40661009,0.00595111
0.41061009,0.00595111
0.41461009,0.00473037
0.41861009,0.00167852
0.42261009,-0.00350963
0.42661009,-0.00961333
0.43061009,-0.01434370
0.43461009,-0.01632740
0.43861009,-0.01525925
0.44261009,-0.01266518
0.44661009,-0.01052889
0.45061009,-0.01007111
0.45461009,-0.01159703
0.45861009,-0.01358074
0.46261009,-0.01403851
0.46661009,-0.01144444
0.47061009,-0.00579852
0.47461009,0.00122074
0.47861009,0.00625629
0.48261009,0.00686666
0.48661009,0.00289926
0.49061009,-0.00289926
0.49461009,-0.00747703
0.49861009,-0.00885037
0.50261009,-0.00747703
0.50661009,-0.00473037
0.51061009,-0.00198370
0.51461009,0.00030519
0.51861009,0.00198370
0.52261009,0.00350963
0.52661009,0.00473037
0.53061009,0.00549333
0.53461009,0.00549333
0.53861009,0.00503555
0.54261009,0.00442518
0.54661009,0.00366222
0.55061009,0.00274667
0.55461009,0.00167852
0.55861009,0.00045778
0.56261009,-0.00045778
0.56661009,-0.00106815
0.57061009,-0.00152593
0.57461009,-0.00213630
0.57861009,-0.00305185
0.58261008,-0.00427259
0.58661008,-0.00534074
0.59061008,-0.00656148
0.59461008,-0.00854518
0.59861008,-0.01113926
0.60261008,-0.01373333
0.60661008,-0.01495407
0.61061008,-0.01419111
0.61461008,-0.01098666
0.61861008,-0.00686666
0.62261008,-0.00289926
0.62661008,-0.00045778
0.63061008,0.00076296
0.63461008,0.00122074
0.63861008,0.00152593
0.64261008,0.00137333
0.64661008,0.00045778
0.65061008,-0.00076296
0.65461008,-0.00167852
0.65861008,-0.00167852
0.66261008,-0.00106815
0.66661008,0.00000000
0.67061008,0.00076296
0.67461008,0.00106815
0.67861008,0.00076296
0.68261008,0.00015259
0.68661008,0.00000000
0.69061008,0.00122074
0.69461008,0.00381481
0.69861008,0.00671407
0.70261008,0.00824000
0.70661008,0.00701926
0.71061008,0.00274667
0.71461008,-0.00289926
0.71861008,-0.00717185
0.72261008,-0.00854518
0.72661008,-0.00701926
0.73061008,-0.00412000
0.73461008,-0.00152593
0.73861008,0.00045778
0.74261008,0.00167852
0.74661008,0.00259407
0.75061008,0.00335704
0.75461008,0.00381481
0.75861008,0.00412000
0.76261008,0.00396741
0.76661008,0.00320444
0.77061008,0.00122074
0.77461008,-0.00259407
0.77861008,-0.00686666
0.78261008,-0.00946074
0.78661008,-0.00824000
0.79061008,-0.00320444
0.79461008,0.00350963
0.79861008,0.00854518
0.80261008,0.00976592
0.80661008,0.00717185
0.81061008,0.00274667
0.81461008,-0.00061037
0.81861008,-0.00152593
0.82261008,0.00000000
0.82661008,0.00228889
0.83061008,0.00427259
0.83461008,0.00549333
0.83861008,0.00564592
0.84261008,0.00549333
0.84661008,0.00549333
0.85061008,0.00625629
0.85461008,0.00778222
0.85861008,0.00930815
0.86261008,0.01037629
0.86661008,0.01037629
0.87061008,0.00930815
0.87461008,0.00778222
0.87861008,0.00625629
0.88261008,0.00473037
0.88661008,0.00350963
0.89061008,0.00244148
0.89461008,0.00152593
0.89861008,0.00122074
0.90261008,0.00167852
0.90661008,0.00259407
0.91061008,0.00305185
0.91461008,0.00289926
0.91861008,0.00259407
0.92261008,0.00198370
0.92661008,0.00061037
0.93061008,-0.00198370
0.93461007,-0.00610370
0.93861007,-0.01068148
0.94261007,-0.01358074
0.94661007,-0.01342814
0.95061007,-0.01022370
0.95461007,-0.00549333
0.95861007,-0.00122074
0.96261007,0.00137333
0.96661007,0.00198370
0.97061007,0.00183111
0.97461007,0.00228889
0.97861007,0.00412000
0.98261007,0.00717185
0.98661007,0.01037629
0.99061007,0.01251259
0.99461007,0.01236000
0.99861007,0.00991852
1.00261007,0.00640889
1.00661007,0.00320444
1.01061007,0.00106815
1.01461007,0.00015259
1.01861007,-0.00015259
1.02261007,-0.00030519
1.02661007,-0.00061037
1.03061007,-0.00091556
1.03461007,-0.00106815
1.03861007,-0.00030519
1.04261007,0.00274667
1.04661007,0.00824000
1.05061007,0.01434370
1.05461007,0.01831111
1.05861007,0.01770074
1.06261007,0.01220740
1.06661007,0.00473037
1.07061007,-0.00137333
1.07461007,-0.00320444
1.07861007,-0.00076296
1.08261007,0.00350963
1.08661007,0.00625629
1.09061007,0.00595111
1.09461007,0.00289926
1.09861007,-0.00137333
1.10261007,-0.00518815
1.10661007,-0.00808741
1.11061007,-0.00991852
1.11461007,-0.01113926
1.11861007,-0.01190222
1.12261007,-0.01251259
1.12661007,-0.01266518
1.13061007,-0.01236000
1.13461007,-0.01159703
1.13861007,-0.01083407
1.14261007,-0.00991852
1.14661007,-0.00900296
1.15061007,-0.00717185
1.15461007,-0.00350963
1.15861007,0.00183111
1.16261007,0.00778222
1.16661007,0.01174963
1.17061007,0.01098666
1.17461007,0.00549333
1.17861007,-0.00213630
1.18261007,-0.00808741
1.18661007,-0.00991852
1.19061007,-0.00793481
1.19461007,-0.00396741
1.19861007,-0.00030519
1.20261007,0.00228889
1.20661007,0.00396741
1.21061007,0.00518815
1.21461007,0.00625629
1.21861007,0.00732444
1.22261007,0.00824000
